"PatId"	"Yeartxt"	"OrigTechArea"	"city"	"state"	"state"	"country"	"topicId"	"ourTechArea"	"origCPC1"	"origCPC2"	"origCPC3"	"ourCPCnum1"	"ourCPCnum2"	"ourCPCnum3"	"GeoCode"	"Year"	"TopicId-Id"	"count1"	"Patnum"
"pat0540"	"yr2010"	"Solar Monitoring"	"Orinda  CA"	"CA"	"CA"	"USA"	8	"Solar Inverter"	"G01R"	"H04Q"	"H01L"	"H01L"	"Y02E"	"Y02B"	"Bay_Area"	2010	"topic-08"	1	"num-12/800 917"
"pat0189"	"yr2011"	"Solar Inverter"	"Los Gatos  CA"	"CA"	"CA"	"USA"	0	"Solar Inverter"	"H02M"	"H02J"		"H02M"	"Y02E"	"H02J"	"Bay_Area"	2011	"topic-00"	1	"num-8058747"
"pat0549"	"yr2011"	"Solar Mounting/Rack"	"Town And Country  MO"	"MO"	"MO"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"MO"	2011	"topic-14"	1	"num-12/831 806"
"pat0330"	"yr2007"	"Solar Inverter"	"Victoria"	"N/A"	"N/A"	"Canada"	11	"Solar Inverter"	"Y02B"	"H02M"	"H02J"	"Y02E"	"H02J"	"G05F"	"canada"	2007	"topic-11"	1	"num-11/278 916"
"pat0061"	"yr2009"	"Solar Monitoring"	"Santa Clara  CA"	"CA"	"CA"	"USA"	5	"Solar Monitoring"	"G01R"			"Y04S"	"G06Q"	"Y02E"	"Bay_Area"	2009	"topic-05"	1	"num-7610174"
"pat0352"	"yr2008"	"Solar Mounting/Rack"	"Rochester  MI"	"MI"	"MI"	"USA"	4	"Solar Mounting/Rack"	"H01L"	"Y02B"	"H01L"	"Y02B"	"H01L"	"Y02E"	"MI"	2008	"topic-04"	1	"num-11/780 721"
"pat0538"	"yr2010"	"Solar Mounting/Rack"	"Perrysburg  OH"	"OH"	"OH"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"OH"	2010	"topic-14"	1	"num-12/794 307"
"pat0310"	"yr2012"	"Site Assessment"	"Napa  CA"	"CA"	"CA"	"USA"	1	"Site Assessment"	"G01W"			"G01W"	"G06Q"	"G01R"	"Other_CA"	2012	"topic-01"	1	"num-8326535"
"pat0092"	"yr2010"	"Solar Monitoring"	"San Jose  CA"	"CA"	"CA"	"USA"	5	"Solar Monitoring"	"G06Q"	"Y04S"	"Y02E"	"Y04S"	"G06Q"	"Y02E"	"Bay_Area"	2010	"topic-05"	1	"num-7779290"
"pat0751"	"yr2012"	"Solar Inverter"	"Niestetal"	"N/A"	"N/A"	"Germany"	11	"Solar Inverter"	"Y02E"	"H02J"		"Y02E"	"H02J"	"G05F"	"germany"	2012	"topic-11"	1	"num-13/273 512"
"pat0411"	"yr2009"	"Solar Inverter"	"Niestetal"	"N/A"	"N/A"	"Germany"	0	"Solar Inverter"	"H02M"	"H02J"		"H02M"	"Y02E"	"H02J"	"germany"	2009	"topic-00"	1	"num-12/322 897"
"pat0444"	"yr2010"	"Solar Monitoring"	"Haslach"	"N/A"	"N/A"	"Germany"	3	"Solar Monitoring"	"G01F"	"H04Q"		"H02J"	"Y02E"	"Y02B"	"germany"	2010	"topic-03"	1	"num-12/472 938"
"pat0591"	"yr2012"	"Solar Mounting/Rack"	"Lee Vining  CA"	"CA"	"CA"	"USA"	13	"Solar Mounting/Rack"	"H01L"	"Y02B"		"H01L"	"Y02E"	"F24J"	"Other_CA"	2012	"topic-13"	1	"num-12/912 552"
"pat0684"	"yr2011"	"Solar Inverter"	"Fort Collins  CO"	"CO"	"CO"	"USA"	6	"Solar Inverter"	"H02J"	"Y02E"		"H02J"	"Y02E"	"H02M"	"CO"	2011	"topic-06"	1	"num-13/103 721"
"pat0262"	"yr2012"	"Solar Monitoring"	"Armonk  NY"	"NY"	"NY"	"USA"	3	"Solar Monitoring"	"Y02E"	"H02J"		"H02J"	"Y02E"	"Y02B"	"NY"	2012	"topic-03"	1	"num-8219259"
"pat0156"	"yr2011"	"Solar Inverter"	"Gyunggi-do"	"N/A"	"N/A"	"South Korea"	6	"Solar Inverter"	"Y02B"	"G05F"		"H02J"	"Y02E"	"H02M"	"asia"	2011	"topic-06"	1	"num-7940032"
